time,plays
2017-01-23 10:00:00-03,13016
2017-01-23 11:00:00-03,14286
2017-01-23 12:00:00-03,11990
2017-01-23 13:00:00-03,12994
2017-01-23 14:00:00-03,15017
2017-01-23 15:00:00-03,5493
2017-01-23 16:00:00-03,2732
2017-01-23 17:00:00-03,2750
2017-01-23 18:00:00-03,3359
2017-01-23 19:00:00-03,2547
2017-01-23 20:00:00-03,1942
2017-01-23 21:00:00-03,1557
2017-01-23 22:00:00-03,1536
2017-01-23 23:00:00-03,1402
2017-01-24 00:00:00-03,1181
2017-01-24 01:00:00-03,708
2017-01-24 02:00:00-03,384
2017-01-24 03:00:00-03,199
2017-01-24 04:00:00-03,144
2017-01-24 05:00:00-03,115
2017-01-24 06:00:00-03,196
2017-01-24 07:00:00-03,386
2017-01-24 08:00:00-03,595
2017-01-24 09:00:00-03,662
2017-01-24 10:00:00-03,658
2017-01-24 11:00:00-03,556
2017-01-24 12:00:00-03,492
2017-01-24 13:00:00-03,438
2017-01-24 14:00:00-03,431
2017-01-24 15:00:00-03,347
2017-01-24 16:00:00-03,326
2017-01-24 17:00:00-03,265
2017-01-24 18:00:00-03,253
2017-01-24 19:00:00-03,214
2017-01-24 20:00:00-03,210
2017-01-24 21:00:00-03,175
2017-01-24 22:00:00-03,164
2017-01-24 23:00:00-03,166
2017-01-25 00:00:00-03,110
2017-01-25 01:00:00-03,79
2017-01-25 02:00:00-03,38
2017-01-25 03:00:00-03,33
2017-01-25 04:00:00-03,12
2017-01-25 05:00:00-03,12
2017-01-25 06:00:00-03,29
2017-01-25 07:00:00-03,35
2017-01-25 08:00:00-03,61
2017-01-25 09:00:00-03,73
2017-01-25 10:00:00-03,74
2017-01-25 11:00:00-03,74
2017-01-25 12:00:00-03,69
2017-01-25 13:00:00-03,61
2017-01-25 14:00:00-03,73
2017-01-25 15:00:00-03,68
2017-01-25 16:00:00-03,54
2017-01-25 17:00:00-03,39
2017-01-25 18:00:00-03,52
2017-01-25 19:00:00-03,45
2017-01-25 20:00:00-03,42
2017-01-25 21:00:00-03,42
2017-01-25 22:00:00-03,42
2017-01-25 23:00:00-03,30
2017-01-26 00:00:00-03,25
2017-01-26 01:00:00-03,18
2017-01-26 02:00:00-03,15
2017-01-26 03:00:00-03,7
2017-01-26 04:00:00-03,6
2017-01-26 05:00:00-03,4
2017-01-26 06:00:00-03,6
2017-01-26 07:00:00-03,15
2017-01-26 08:00:00-03,19
2017-01-26 09:00:00-03,18
2017-01-26 10:00:00-03,24
2017-01-26 11:00:00-03,22
2017-01-26 12:00:00-03,18
2017-01-26 13:00:00-03,24
2017-01-26 14:00:00-03,19
2017-01-26 15:00:00-03,24
2017-01-26 16:00:00-03,19
2017-01-26 17:00:00-03,26
2017-01-26 18:00:00-03,14
2017-01-26 19:00:00-03,14
2017-01-26 20:00:00-03,8
2017-01-26 21:00:00-03,14
2017-01-26 22:00:00-03,20
2017-01-26 23:00:00-03,15
2017-01-27 00:00:00-03,9
2017-01-27 01:00:00-03,7
2017-01-27 02:00:00-03,1
2017-01-27 03:00:00-03,5
2017-01-27 04:00:00-03,1
2017-01-27 06:00:00-03,3
2017-01-27 08:00:00-03,4
2017-01-27 09:00:00-03,6
2017-01-27 10:00:00-03,13
2017-01-27 11:00:00-03,10
2017-01-27 12:00:00-03,8
2017-01-27 13:00:00-03,28
2017-01-27 14:00:00-03,52
2017-01-27 15:00:00-03,178
2017-01-27 16:00:00-03,102
2017-01-27 17:00:00-03,70
2017-01-27 18:00:00-03,58
2017-01-27 19:00:00-03,47
2017-01-27 20:00:00-03,38
2017-01-27 21:00:00-03,30
2017-01-27 22:00:00-03,38
2017-01-27 23:00:00-03,32
2017-01-28 00:00:00-03,33
2017-01-28 01:00:00-03,20
2017-01-28 02:00:00-03,18
2017-01-28 03:00:00-03,5
2017-01-28 04:00:00-03,5
2017-01-28 05:00:00-03,3
2017-01-28 06:00:00-03,4
2017-01-28 07:00:00-03,10
2017-01-28 08:00:00-03,11
2017-01-28 09:00:00-03,15
2017-01-28 10:00:00-03,16
2017-01-28 11:00:00-03,31
2017-01-28 12:00:00-03,20
2017-01-28 13:00:00-03,20
2017-01-28 14:00:00-03,11
2017-01-28 15:00:00-03,18
2017-01-28 16:00:00-03,26
2017-01-28 17:00:00-03,25
2017-01-28 18:00:00-03,17
2017-01-28 19:00:00-03,16
2017-01-28 20:00:00-03,9
2017-01-28 21:00:00-03,14
2017-01-28 22:00:00-03,12
2017-01-28 23:00:00-03,10
2017-01-29 00:00:00-03,9
2017-01-29 01:00:00-03,10
2017-01-29 02:00:00-03,6
2017-01-29 03:00:00-03,2
2017-01-29 04:00:00-03,4
2017-01-29 05:00:00-03,1
2017-01-29 07:00:00-03,5
2017-01-29 08:00:00-03,8
2017-01-29 09:00:00-03,6
2017-01-29 10:00:00-03,10
2017-01-29 11:00:00-03,9
2017-01-29 12:00:00-03,12
2017-01-29 13:00:00-03,6
2017-01-29 14:00:00-03,15
2017-01-29 15:00:00-03,13
2017-01-29 16:00:00-03,10
2017-01-29 17:00:00-03,9
2017-01-29 18:00:00-03,16
2017-01-29 19:00:00-03,12
2017-01-29 20:00:00-03,11
2017-01-29 21:00:00-03,9
2017-01-29 22:00:00-03,14
2017-01-29 23:00:00-03,8
2017-01-30 00:00:00-03,15
2017-01-30 01:00:00-03,7
2017-01-30 02:00:00-03,5
2017-01-30 05:00:00-03,3
2017-01-30 06:00:00-03,1
2017-01-30 07:00:00-03,3
2017-01-30 08:00:00-03,5
2017-01-30 09:00:00-03,4
2017-01-30 10:00:00-03,4
2017-01-30 11:00:00-03,7
2017-01-30 12:00:00-03,7
2017-01-30 13:00:00-03,6
2017-01-30 14:00:00-03,9
2017-01-30 15:00:00-03,7
2017-01-30 16:00:00-03,5
2017-01-30 17:00:00-03,5
2017-01-30 18:00:00-03,5
2017-01-30 19:00:00-03,2
2017-01-30 20:00:00-03,5
2017-01-30 21:00:00-03,5
2017-01-30 22:00:00-03,5
2017-01-30 23:00:00-03,4
2017-01-31 00:00:00-03,1
2017-01-31 01:00:00-03,2
2017-01-31 02:00:00-03,2
2017-01-31 05:00:00-03,1
2017-01-31 06:00:00-03,2
2017-01-31 07:00:00-03,1
2017-01-31 08:00:00-03,2
2017-01-31 09:00:00-03,4
2017-01-31 10:00:00-03,1
2017-01-31 11:00:00-03,1
2017-01-31 13:00:00-03,6
2017-01-31 14:00:00-03,3
2017-01-31 15:00:00-03,3
2017-01-31 16:00:00-03,2
2017-01-31 17:00:00-03,8
2017-01-31 18:00:00-03,3
2017-01-31 19:00:00-03,3
