time,plays
2017-01-23 10:00:00-03,1795
2017-01-23 11:00:00-03,13856
2017-01-23 12:00:00-03,12714
2017-01-23 13:00:00-03,9707
2017-01-23 14:00:00-03,4790
2017-01-23 15:00:00-03,4143
2017-01-23 16:00:00-03,3433
2017-01-23 17:00:00-03,2965
2017-01-23 18:00:00-03,2683
2017-01-23 19:00:00-03,2262
2017-01-23 20:00:00-03,1890
2017-01-23 21:00:00-03,1619
2017-01-23 22:00:00-03,1305
2017-01-23 23:00:00-03,1157
2017-01-24 00:00:00-03,794
2017-01-24 01:00:00-03,415
2017-01-24 02:00:00-03,236
2017-01-24 03:00:00-03,115
2017-01-24 04:00:00-03,47
2017-01-24 05:00:00-03,42
2017-01-24 06:00:00-03,96
2017-01-24 07:00:00-03,195
2017-01-24 08:00:00-03,246
2017-01-24 09:00:00-03,301
2017-01-24 10:00:00-03,267
2017-01-24 11:00:00-03,280
2017-01-24 12:00:00-03,240
2017-01-24 13:00:00-03,225
2017-01-24 14:00:00-03,207
2017-01-24 15:00:00-03,157
2017-01-24 16:00:00-03,135
2017-01-24 17:00:00-03,101
2017-01-24 18:00:00-03,97
2017-01-24 19:00:00-03,99
2017-01-24 20:00:00-03,136
2017-01-24 21:00:00-03,120
2017-01-24 22:00:00-03,116
2017-01-24 23:00:00-03,94
2017-01-25 00:00:00-03,78
2017-01-25 01:00:00-03,34
2017-01-25 02:00:00-03,28
2017-01-25 03:00:00-03,13
2017-01-25 04:00:00-03,5
2017-01-25 05:00:00-03,6
2017-01-25 06:00:00-03,15
2017-01-25 07:00:00-03,33
2017-01-25 08:00:00-03,43
2017-01-25 09:00:00-03,51
2017-01-25 10:00:00-03,48
2017-01-25 11:00:00-03,27
2017-01-25 12:00:00-03,48
2017-01-25 13:00:00-03,34
2017-01-25 14:00:00-03,48
2017-01-25 15:00:00-03,26
2017-01-25 16:00:00-03,30
2017-01-25 17:00:00-03,12
2017-01-25 18:00:00-03,24
2017-01-25 19:00:00-03,12
2017-01-25 20:00:00-03,14
2017-01-25 21:00:00-03,16
2017-01-25 22:00:00-03,15
2017-01-25 23:00:00-03,20
2017-01-26 00:00:00-03,18
2017-01-26 01:00:00-03,11
2017-01-26 02:00:00-03,6
2017-01-26 03:00:00-03,1
2017-01-26 04:00:00-03,3
2017-01-26 06:00:00-03,4
2017-01-26 07:00:00-03,5
2017-01-26 08:00:00-03,9
2017-01-26 09:00:00-03,5
2017-01-26 10:00:00-03,19
2017-01-26 11:00:00-03,10
2017-01-26 12:00:00-03,16
2017-01-26 13:00:00-03,12
2017-01-26 14:00:00-03,17
2017-01-26 15:00:00-03,6
2017-01-26 16:00:00-03,15
2017-01-26 17:00:00-03,12
2017-01-26 18:00:00-03,10
2017-01-26 19:00:00-03,15
2017-01-26 20:00:00-03,12
2017-01-26 21:00:00-03,14
2017-01-26 22:00:00-03,13
2017-01-26 23:00:00-03,13
2017-01-27 00:00:00-03,6
2017-01-27 01:00:00-03,3
2017-01-27 02:00:00-03,1
2017-01-27 03:00:00-03,2
2017-01-27 04:00:00-03,1
2017-01-27 05:00:00-03,2
2017-01-27 06:00:00-03,1
2017-01-27 07:00:00-03,2
2017-01-27 08:00:00-03,5
2017-01-27 09:00:00-03,4
2017-01-27 10:00:00-03,5
2017-01-27 11:00:00-03,9
2017-01-27 12:00:00-03,8
2017-01-27 13:00:00-03,15
2017-01-27 14:00:00-03,8
2017-01-27 15:00:00-03,7
2017-01-27 16:00:00-03,7
2017-01-27 17:00:00-03,4
2017-01-27 18:00:00-03,7
2017-01-27 19:00:00-03,3
2017-01-27 20:00:00-03,5
2017-01-27 21:00:00-03,8
2017-01-27 22:00:00-03,7
2017-01-27 23:00:00-03,7
2017-01-28 00:00:00-03,7
2017-01-28 01:00:00-03,3
2017-01-28 02:00:00-03,2
2017-01-28 03:00:00-03,5
2017-01-28 04:00:00-03,1
2017-01-28 05:00:00-03,2
2017-01-28 06:00:00-03,4
2017-01-28 07:00:00-03,5
2017-01-28 08:00:00-03,10
2017-01-28 09:00:00-03,7
2017-01-28 10:00:00-03,10
2017-01-28 11:00:00-03,30
2017-01-28 12:00:00-03,7
2017-01-28 13:00:00-03,8
2017-01-28 14:00:00-03,8
2017-01-28 15:00:00-03,11
2017-01-28 16:00:00-03,3
2017-01-28 19:00:00-03,3
2017-01-28 20:00:00-03,1
2017-01-28 21:00:00-03,4
2017-01-28 22:00:00-03,2
2017-01-28 23:00:00-03,5
2017-01-29 00:00:00-03,3
2017-01-29 01:00:00-03,1
2017-01-29 04:00:00-03,1
2017-01-29 05:00:00-03,2
2017-01-29 06:00:00-03,1
2017-01-29 09:00:00-03,2
2017-01-29 10:00:00-03,2
2017-01-29 11:00:00-03,3
2017-01-29 12:00:00-03,10
2017-01-29 13:00:00-03,6
2017-01-29 14:00:00-03,3
2017-01-29 15:00:00-03,9
2017-01-29 16:00:00-03,2
2017-01-29 17:00:00-03,5
2017-01-29 18:00:00-03,3
2017-01-29 19:00:00-03,2
2017-01-29 20:00:00-03,1
2017-01-29 21:00:00-03,3
2017-01-29 22:00:00-03,3
2017-01-29 23:00:00-03,1
2017-01-30 00:00:00-03,2
2017-01-30 01:00:00-03,4
2017-01-30 02:00:00-03,4
2017-01-30 03:00:00-03,2
2017-01-30 06:00:00-03,1
2017-01-30 07:00:00-03,1
2017-01-30 08:00:00-03,7
2017-01-30 09:00:00-03,1
2017-01-30 10:00:00-03,1
2017-01-30 11:00:00-03,2
2017-01-30 12:00:00-03,4
2017-01-30 13:00:00-03,5
2017-01-30 14:00:00-03,5
2017-01-30 15:00:00-03,3
2017-01-30 16:00:00-03,3
2017-01-30 17:00:00-03,1
2017-01-30 20:00:00-03,1
2017-01-30 21:00:00-03,1
2017-01-30 22:00:00-03,4
2017-01-30 23:00:00-03,4
2017-01-31 00:00:00-03,2
2017-01-31 01:00:00-03,2
2017-01-31 04:00:00-03,1
2017-01-31 07:00:00-03,1
2017-01-31 09:00:00-03,3
2017-01-31 11:00:00-03,1
2017-01-31 12:00:00-03,2
2017-01-31 13:00:00-03,2
2017-01-31 14:00:00-03,1
2017-01-31 16:00:00-03,1
2017-01-31 18:00:00-03,1
2017-01-31 20:00:00-03,1
2017-01-31 22:00:00-03,1
2017-01-31 23:00:00-03,1
2017-02-01 00:00:00-03,2
2017-02-01 01:00:00-03,1
2017-02-01 08:00:00-03,2
2017-02-01 09:00:00-03,1
2017-02-01 10:00:00-03,2
2017-02-01 11:00:00-03,2
2017-02-01 12:00:00-03,2
2017-02-01 14:00:00-03,1
2017-02-01 15:00:00-03,1
2017-02-01 16:00:00-03,1
2017-02-01 17:00:00-03,4
2017-02-01 18:00:00-03,1
2017-02-01 19:00:00-03,3
2017-02-01 20:00:00-03,1
2017-02-01 21:00:00-03,3
2017-02-02 00:00:00-03,2
2017-02-02 03:00:00-03,1
2017-02-02 09:00:00-03,2
2017-02-02 10:00:00-03,4
