title,plays
,7497
"Luis, papá de tripulante del submarino ARA San Juan: ""Están todos muertos""",5583
"Yanina Latorre: ""Diego es mucho más inmaduro que yo y necesita que lo sostenga""",3991
YANINA LATORRE con MORIA en EXCLUSIVA en A LA RADIO CON MORIA LATE 93.1 Pto Madero ,3555
El momento en que ingresa Pato Celeste al estudio de 1010,3158
Julio Ríos abordado por el Pato Celeste en la radio 1010,2869
"Recorte en #Discapacidad @GabrielaTroiano, dip. socialista",1572
Emilio Pérsico / Intentamos la unidad y cuidamos el PJ,1138
"Nacho Álvarez furioso con Masa Crítica: ""si veo a un ciclista lo paso por arriba""",1132
"Testimonio Desolador: ''A Manuel, de 9 años, el gobierno le sacó la pensión por discapacidad""",981
Lamothe y su técnica para las escenas de sexo,948
"Marcos Peña: ""Te la debo""",747
"""Violentos"" el editorial de Fernando Borroni #LaMañana de Victor Hugo por @RadioAM750",716
VHM enloquece porque un columnista le dice que no hubo trampa en el conteo de votos,694
"Desopilante análisis de la Negra Vernaci sobre el ""Sí se puede"" de Bullrich",691
Raphael Dufort,669
"Finalmente pudimos comunicarnos con el 0800 del Gobierno por las pensiones, escuchá lo que pasó...",660
La loca de Mar Azul. Vacaciones de mierda. ,627
"""La Escuela tiene que ser un lindo lugar para aprender y la mùsica da para charlar con los chicos""",606
,551
La insensibilidad del gobierno de Macri. Dan de baja pensiones y quita de subsidios a discapacitados,517
Información exclusiva de Roberto Caballero: El armado por el cuál CFK será candidata,500
Entrevista a Rita Segato en La inmensa minoría,498
Daniel Catalano visito a Milagro Sala. Entrevista de Victor Hugo,496
Historia de amor,489
"D'elia: ""Voy a militar para que voten a Cristina Kirchner""",482
Lotuf se quebró al recordar a su hijo Emilio,480
"MACRI, PARÁ LA MANO - Apertura #LaMañana de Víctor Hugo en AM 750 14/06/2017",468
Abigail Pereira,458
"Chat hot entre Latorre y Jaitt, interpretado por La Negra y Diega",456
Carolina Stanley,449
"Sandra Mayol, empleada y delegada de ANSES Mar del Plata, por el jubilado que se suicidió ",446
Yefferson Soteldo en Conexión Goleadora,442
La canción de Pablo Aguirrezábal para Chris Namús,440
El desafío de Cristina a Macri que involucra a Navarro ,439
Mario Pergolini en Viale 910,425
"""Pueden intervenir militarmente por encima de la decisión del gobierno del momento""",409
,406
"Carolina Stanley, ministra de Desarrollo Social, en ""Viale 910"" @AlertaO",401
Wado de Pedro en AM750 24-11-2016,393
"Dolina: ""es un momento Trágico del país""",369
Gabriela Michetti diciendo que tomar leche es un consumo suntuario,363
"""¿Te creés que soy boludo?"": discusión de Damiani y Buysán",325
Esteban Lamothe aseguró que no irá a votar,324
"Sergio Bergman, sobre los incendios: ""Son como una especie de profecía apocalítica""",314
Pato Celeste irrumpe en los estudios de Julio Ríos y van a la pausa. Imperdible. ,307
Cristina Fernández de Kirchner en AM750 con Victor Hugo Morales,306
Osmar Nuñez - El Mediodia de Del Plata - Radio del Plata,295
,293
,285
Editorial de apertura de Carlos Polimeni - Radio del Plata,284
La despedida de Gustaf de Las cosas en su sitio,279
"Moria Casán, sobre Yanina: ""No es la viuda, es la cornuda hay que aclararle""",277
Anibal Pittellli - Siempre Es Hoy - Radio del Plata,272
Víctor Hugo con Roberto Navarro,262
Ignacio Álvarez contó que probó la marihuana oficial,262
,261
14/6/2017 - Chivilcoy (Pcia. de B.A.) - Servicio Alimentario Escolar (SAE) - DGCyE y Desarr. Soc.,256
Ricardo Iorio,255
Dr. Bilardo candidato a DT Selección Argentina 2017,254
,251
